customerkey,Fullname,age,yearlyincome,numberchildrenathome,englisheducation,englishoccupation,numbercarsowned,City,Gender,MaritalStatus
11000,Jon Yang,49,90000.00,0,Bachelors,Professional,0,Rockhampton,Male,Married
11001,Eugene Huang,44,60000.00,3,Bachelors,Professional,1,Seaford,Male,Single
11002,Ruben Torres,49,60000.00,3,Bachelors,Professional,1,Hobart,Male,Married
11003,Christy Zhu,46,70000.00,0,Bachelors,Professional,1,North Ryde,Female,Single
11004,Elizabeth Johnson,41,80000.00,5,Bachelors,Professional,4,Wollongong,Female,Single
11005,Julio Ruiz,43,70000.00,0,Bachelors,Professional,1,East Brisbane,Male,Single
11006,Janet Alvarez,44,70000.00,0,Bachelors,Professional,1,Matraville,Female,Single
11007,Marco Mehta,51,60000.00,3,Bachelors,Professional,2,Warrnambool,Male,Married
11008,Rob Verhoff,45,60000.00,4,Bachelors,Professional,3,Bendigo,Female,Single
11009,Shannon Carlson,51,70000.00,0,Bachelors,Professional,1,Hervey Bay,Male,Single
11010,Jacquelyn Suarez,51,70000.00,0,Bachelors,Professional,1,East Brisbane,Female,Single
11011,Curtis Lu,50,60000.00,4,Bachelors,Professional,4,East Brisbane,Male,Married
11012,Lauren Walker,43,100000.00,0,Bachelors,Management,2,Bremerton,Female,Married
11013,Ian Jenkins,43,100000.00,0,Bachelors,Management,3,Lebanon,Male,Married
11014,Sydney Bennett,49,100000.00,0,Bachelors,Management,3,Redmond,Female,Single
11015,Chloe Young,38,30000.00,0,Partial College,Skilled Manual,1,Burbank,Female,Single
11016,Wyatt Hill,38,30000.00,0,Partial College,Skilled Manual,1,Imperial Beach,Male,Married
11017,Shannon Wang,71,20000.00,0,High School,Skilled Manual,2,Sunbury,Female,Single
11018,Clarence Rai,65,30000.00,0,Partial College,Clerical,2,Bendigo,Male,Single
11019,Luke Lal,39,40000.00,0,High School,Skilled Manual,2,Langley,Male,Single
11020,Jordan King,37,40000.00,0,High School,Skilled Manual,2,Metchosin,Male,Single
11021,Destiny Wilson,38,40000.00,0,Partial College,Skilled Manual,1,Beaverton,Female,Single
11022,Ethan Zhang,38,40000.00,0,Partial College,Skilled Manual,1,Bellingham,Male,Married
11023,Seth Edwards,38,40000.00,0,Partial College,Skilled Manual,1,Bellflower,Male,Married
11024,Russell Xie,38,60000.00,0,Partial College,Skilled Manual,2,Concord,Male,Married
11025,Alejandro Beck,69,10000.00,1,Partial High School,Clerical,2,Hawthorne,Male,Married
11026,Harold Sai,69,30000.00,0,Partial College,Clerical,2,Goulburn,Male,Single
11027,Jessie Zhao,68,30000.00,0,Partial College,Clerical,2,Warrnambool,Male,Married
11028,Jill Jimenez,69,30000.00,0,Partial College,Clerical,2,St. Leonards,Female,Married
11029,Jimmy Moreno,68,30000.00,0,Partial College,Clerical,2,Bendigo,Male,Married
11030,Bethany Yuan,62,10000.00,1,Partial High School,Clerical,2,Cloverdale,Female,Married
11031,Theresa Ramos,67,20000.00,0,High School,Skilled Manual,2,Matraville,Female,Married
11032,Denise Stone,68,20000.00,0,High School,Skilled Manual,2,Melbourne,Female,Married
11033,Jaime Nath,62,20000.00,0,High School,Skilled Manual,2,Milsons Point,Male,Married
11034,Ebony Gonzalez,68,20000.00,0,High School,Skilled Manual,2,North Sydney,Female,Married
11035,Wendy Dominguez,67,10000.00,1,Partial High School,Clerical,2,Cranbourne,Female,Married
11036,Jennifer Russell,38,60000.00,0,Partial College,Skilled Manual,2,National City,Female,Married
11037,Chloe Garcia,39,40000.00,0,Partial High School,Clerical,2,Cliffside,Female,Single
11038,Diana Hernandez,67,10000.00,1,Partial High School,Clerical,2,Lavender Bay,Female,Married
11039,Marc Martin,66,30000.00,0,Partial College,Clerical,2,Wollongong,Male,Married
11040,Jesse Murphy,39,30000.00,0,Partial College,Skilled Manual,2,Tacoma,Male,Married
11041,Amanda Carter,39,60000.00,0,Partial College,Skilled Manual,2,Glendale,Female,Married
11042,Megan Sanchez,40,70000.00,0,Partial College,Skilled Manual,2,Los Angeles,Female,Married
11043,Nathan Simmons,41,60000.00,0,Partial College,Skilled Manual,2,Glendale,Male,Married
11044,Adam Flores,66,20000.00,1,Partial High School,Clerical,2,Hervey Bay,Male,Married
11045,Leonard Nara,67,30000.00,0,High School,Skilled Manual,2,Matraville,Male,Single
11046,Christine Yuan,65,30000.00,0,High School,Skilled Manual,2,Lavender Bay,Female,Married
11047,Jaclyn Lu,65,30000.00,0,High School,Skilled Manual,2,Geelong,Female,Married
11048,Jeremy Powell,64,30000.00,0,High School,Skilled Manual,2,Sunbury,Male,Married
11049,Carol Rai,36,40000.00,0,Partial High School,Clerical,2,Chula Vista,Female,Single
11050,Alan Zheng,63,30000.00,0,High School,Skilled Manual,2,Hobart,Male,Married
11051,Daniel Johnson,65,30000.00,0,High School,Skilled Manual,2,Caloundra,Male,Single
11052,Heidi Lopez,63,40000.00,0,Partial College,Clerical,2,Matraville,Female,Single
11053,Ana Price,36,60000.00,0,Partial College,Skilled Manual,2,San Diego,Female,Married
11054,Deanna Munoz,63,40000.00,0,Partial College,Skilled Manual,2,Geelong,Female,Married
11055,Gilbert Raje,63,40000.00,0,Partial College,Skilled Manual,2,East Brisbane,Male,Married
11056,Michele Nath,62,40000.00,0,Partial College,Skilled Manual,2,Newcastle,Female,Married
11057,Carl Andersen,50,70000.00,0,Graduate Degree,Management,2,Lane Cove,Male,Married
11058,Marc Diaz,55,80000.00,0,Partial College,Skilled Manual,2,Findon,Male,Married
11059,Ashlee Andersen,63,80000.00,0,Partial College,Skilled Manual,2,Townsville,Female,Single
11060,Jon Zhou,61,80000.00,0,Partial College,Skilled Manual,2,Warrnambool,Male,Married
11061,Todd Gao,44,80000.00,0,Partial College,Skilled Manual,2,Gold Coast,Male,Married
11062,Noah Powell,41,40000.00,0,High School,Skilled Manual,2,Portland,Male,Married
11063,Angela Murphy,42,40000.00,0,High School,Skilled Manual,2,Redmond,Female,Single
11064,Chase Reed,41,40000.00,0,High School,Skilled Manual,2,Downey,Male,Married
11065,Jessica Henderson,43,60000.00,0,Partial College,Skilled Manual,2,La Jolla,Female,Married
11066,Grace Butler,43,70000.00,0,Partial College,Professional,2,Lebanon,Female,Married
11067,Caleb Carter,40,60000.00,0,Partial College,Professional,2,Port Orchard,Male,Single
11068,Tiffany Liang,56,80000.00,0,High School,Skilled Manual,2,Warrnambool,Female,Single
11069,Carolyn Navarro,54,80000.00,0,High School,Skilled Manual,2,Gold Coast,Female,Single
11070,Willie Raji,60,80000.00,0,High School,Skilled Manual,2,Sunbury,Male,Married
11071,Linda Serrano,62,80000.00,0,High School,Skilled Manual,2,Hawthorne,Female,Single
11072,Casey Luo,60,80000.00,0,High School,Skilled Manual,2,St. Leonards,Female,Single
11073,Amy Ye,60,70000.00,0,High School,Skilled Manual,2,Springwood,Female,Single
11074,Levi Arun,60,70000.00,0,High School,Skilled Manual,2,Cloverdale,Male,Single
11075,Felicia Jimenez,57,80000.00,0,High School,Professional,2,Bendigo,Female,Single
11076,Blake Anderson,57,80000.00,0,High School,Professional,2,Wollongong,Male,Single
11077,Leah Ye,57,80000.00,0,High School,Professional,2,Melton,Female,Single
11078,Gina Martin,37,40000.00,0,High School,Professional,2,Cliffside,Female,Single
11079,Donald Gonzalez,52,160000.00,0,Graduate Degree,Management,2,Geelong,Male,Single
11080,Damien Chander,55,170000.00,0,Graduate Degree,Management,2,Perth,Male,Married
11081,Savannah Baker,50,120000.00,2,Bachelors,Management,3,Concord,Female,Married
11082,Angela Butler,50,130000.00,1,Graduate Degree,Management,3,Fremont,Female,Single
11083,Alyssa Cox,45,130000.00,1,Graduate Degree,Management,3,Lincoln Acres,Female,Married
11084,Lucas Phillips,59,80000.00,0,Partial High School,Skilled Manual,2,Lebanon,Male,Single
11085,Emily Johnson,59,60000.00,0,High School,Professional,2,Newport Beach,Female,Single
11086,Ryan Brown,59,70000.00,1,Partial College,Professional,0,Santa Monica,Male,Married
11087,Tamara Liang,59,70000.00,2,Partial College,Professional,0,Chula Vista,Female,Married
11088,Hunter Davis,59,80000.00,1,Bachelors,Management,0,San Diego,Male,Married
11089,Abigail Price,59,80000.00,1,Bachelors,Management,1,Long Beach,Female,Single
11090,Trevor Bryant,52,90000.00,0,Partial College,Professional,1,Los Angeles,Male,Single
11091,Dalton Perez,60,90000.00,0,Partial College,Professional,1,Haney,Male,Married
11092,Cheryl Diaz,48,90000.00,2,Bachelors,Professional,0,East Brisbane,Female,Married
11093,Aimee He,42,100000.00,0,Graduate Degree,Management,0,Wollongong,Female,Married
11094,Cedric Ma,55,70000.00,0,Partial College,Skilled Manual,1,Cranbourne,Male,Single
11095,Chad Kumar,52,70000.00,0,Partial College,Skilled Manual,1,Port Macquarie,Male,Single
11096,Andrés Anand,52,60000.00,0,Bachelors,Professional,1,North Sydney,Male,Married
11097,Edwin Nara,48,60000.00,0,Partial College,Skilled Manual,1,Warrnambool,Male,Married
11098,Mallory Rubio,56,60000.00,0,Partial College,Skilled Manual,1,Rhodes,Female,Single
11099,Adam Ross,54,60000.00,0,Bachelors,Professional,1,Port Macquarie,Male,Married
11100,Latasha Navarro,54,60000.00,0,Partial College,Skilled Manual,1,Cloverdale,Female,Single
11101,Abby Sai,50,70000.00,0,Bachelors,Professional,1,Cranbourne,Female,Single
11102,Julia Nelson,52,80000.00,5,Bachelors,Professional,4,Sydney,Female,Single
11103,Cassie Chande,39,70000.00,0,Bachelors,Professional,1,Darlinghurst,Female,Single
11104,Edgar Sara,45,70000.00,0,Bachelors,Professional,1,Gold Coast,Male,Married
11105,Candace Fernandez,50,70000.00,0,Bachelors,Professional,1,Matraville,Female,Single
11106,Jessie Liu,50,70000.00,0,Bachelors,Professional,1,Warrnambool,Male,Single
11107,Bianca Lin,44,90000.00,0,Bachelors,Professional,1,St. Leonards,Female,Married
11108,Kari Alvarez,51,70000.00,0,Bachelors,Professional,2,Port Macquarie,Female,Single
11109,Ruben Kapoor,40,70000.00,0,Bachelors,Professional,2,South Melbourne,Male,Single
11110,Curtis Yang,53,60000.00,0,Partial College,Skilled Manual,1,Darlinghurst,Male,Married
11111,Meredith Gutierrez,53,60000.00,0,Partial College,Skilled Manual,1,Geelong,Female,Married
11112,Crystal Wang,52,60000.00,0,Partial College,Skilled Manual,1,Hervey Bay,Female,Married
11113,Micheal Blanco,49,70000.00,4,Bachelors,Professional,2,Perth,Male,Married
11114,Leslie Moreno,55,70000.00,4,Partial College,Skilled Manual,2,Rhodes,Female,Single
11115,Alvin Cai,55,70000.00,4,Partial College,Skilled Manual,2,St. Leonards,Male,Married
11116,Clinton Carlson,43,70000.00,4,Partial College,Skilled Manual,2,Sydney,Male,Married
11117,April Deng,54,70000.00,4,Partial College,Skilled Manual,3,Matraville,Female,Married
11118,Alvin Zeng,60,80000.00,0,Partial College,Skilled Manual,1,Lavender Bay,Male,Single
11119,Evan James,82,30000.00,0,Partial College,Clerical,2,Port Macquarie,Male,Single
11120,Beth Jiménez,78,40000.00,0,Bachelors,Management,1,Sydney,Female,Single
11121,Orlando Suarez,56,70000.00,4,Partial College,Skilled Manual,3,Newcastle,Male,Married
11122,Byron Vazquez,57,70000.00,4,Partial College,Skilled Manual,3,North Sydney,Male,Married
11123,Philip Alvarez,57,70000.00,4,Partial College,Skilled Manual,3,Sunbury,Male,Married
11124,Ross Jordan,52,80000.00,0,Partial College,Skilled Manual,1,Warrnambool,Male,Single
11125,Dana Navarro,61,70000.00,0,Partial College,Skilled Manual,1,Seaford,Female,Single
11126,Shaun Carson,66,10000.00,1,High School,Skilled Manual,2,North Ryde,Male,Married
11127,Jan Edwards,41,40000.00,0,High School,Skilled Manual,1,San Gabriel,Female,Married
11128,Samantha Long,41,40000.00,0,High School,Skilled Manual,1,Renton,Female,Married
11129,Julia Wright,39,40000.00,0,High School,Skilled Manual,1,Sedro Woolley,Female,Single
11130,Caroline Russell,37,30000.00,0,High School,Skilled Manual,2,Lebanon,Female,Married
11131,Amanda Rivera,37,30000.00,0,High School,Skilled Manual,2,Haney,Female,Married
11132,Melissa Richardson,36,30000.00,0,High School,Skilled Manual,2,Langford,Female,Single
11133,Angela Griffin,36,30000.00,0,Partial High School,Clerical,2,Lake Oswego,Female,Single
11134,Larry Townsend,63,10000.00,0,High School,Skilled Manual,2,Perth,Male,Single
11135,Marcus Harris,37,30000.00,0,Partial High School,Clerical,2,Burlingame,Male,Single
11136,Brianna Morgan,38,40000.00,0,High School,Skilled Manual,2,Metchosin,Female,Single
11137,Jasmine Taylor,38,40000.00,0,High School,Skilled Manual,2,Spokane,Female,Married
11138,Lauren Davis,38,40000.00,0,High School,Skilled Manual,2,Glendale,Female,Married
11139,Tanya Moreno,73,30000.00,0,Partial College,Clerical,2,Cloverdale,Female,Single
11140,Javier Alvarez,40,30000.00,0,Partial High School,Clerical,2,Burbank,Male,Single
11141,Nicole Ramirez,40,40000.00,0,High School,Skilled Manual,2,Daly City,Female,Married
11142,Eduardo Patterson,39,40000.00,0,High School,Skilled Manual,2,Langford,Male,Single
11143,Jonathan Henderson,40,40000.00,0,High School,Skilled Manual,2,Lakewood,Male,Married
11144,Edward Hernandez,37,40000.00,0,High School,Skilled Manual,2,Ballard,Male,Single
11145,Jasmine Coleman,37,40000.00,0,High School,Skilled Manual,2,Beaverton,Female,Single
11146,Karla Goel,77,40000.00,0,Bachelors,Management,2,Matraville,Female,Single
11147,Ernest Wu,76,60000.00,0,Graduate Degree,Management,1,Warrnambool,Male,Married
11148,Ross Vazquez,75,40000.00,0,Bachelors,Management,2,East Brisbane,Male,Married
11149,Theodore Gill,76,40000.00,0,Bachelors,Management,2,Hervey Bay,Male,Married
11150,Russell Shen,76,40000.00,0,Bachelors,Management,2,Sunbury,Male,Single
11151,Melinda Gill,73,60000.00,0,Graduate Degree,Management,1,Sydney,Female,Single
11152,James Williams,41,40000.00,0,High School,Skilled Manual,2,Puyallup,Male,Single
11153,Angela James,41,40000.00,0,High School,Skilled Manual,2,Renton,Female,Married
11154,Megan Walker,40,40000.00,0,Partial College,Skilled Manual,1,Woodburn,Female,Single
11155,Hunter Robinson,41,40000.00,0,Partial College,Skilled Manual,1,Burbank,Male,Single
11156,Maria Roberts,41,40000.00,0,Partial College,Skilled Manual,1,Lakewood,Female,Single
11157,Hannah Long,42,40000.00,0,High School,Skilled Manual,2,Tacoma,Female,Married
11158,Jason Wright,41,40000.00,0,High School,Skilled Manual,2,San Gabriel,Male,Single
11159,Brianna Hughes,41,40000.00,0,High School,Skilled Manual,2,Woodland Hills,Female,Single
11160,Maurice Tang,43,40000.00,0,Partial College,Skilled Manual,1,Concord,Male,Single
11161,Emily Wood,43,40000.00,0,Partial College,Skilled Manual,1,Concord,Female,Single
11162,Chase Cox,43,40000.00,0,Partial College,Skilled Manual,1,La Jolla,Male,Single
11163,Gabriel Wang,42,40000.00,0,Partial College,Skilled Manual,1,Spring Valley,Male,Married
11164,Devin Brooks,43,40000.00,0,Partial College,Skilled Manual,1,Torrance,Male,Single
11165,Jocelyn Alexander,43,60000.00,0,Partial College,Skilled Manual,1,Oakland,Female,Married
11166,Ashley Martinez,45,70000.00,0,Partial College,Skilled Manual,2,Olympia,Female,Single
11167,Jasmine Barnes,44,80000.00,0,Bachelors,Management,1,Issaquah,Female,Single
11168,David Rodriguez,49,80000.00,0,Bachelors,Management,1,Oakland,Male,Single
11169,Bryce Richardson,49,90000.00,4,Bachelors,Management,1,Coronado,Male,Married
11170,Carol Howard,49,90000.00,4,Bachelors,Management,1,Burien,Female,Married
11171,Jonathan Hill,42,100000.00,0,Bachelors,Management,2,Woodland Hills,Male,Single
11172,Gabrielle Adams,49,100000.00,0,Bachelors,Management,2,Lynnwood,Female,Married
11173,Sarah Thomas,49,110000.00,0,Graduate Degree,Management,4,W. Linn,Female,Single
11174,Nicholas Robinson,49,110000.00,1,Graduate Degree,Management,0,Los Angeles,Male,Married
11175,Luis Wang,52,70000.00,0,Partial College,Skilled Manual,2,Beverly Hills,Male,Single
11176,Mason Roberts,43,90000.00,4,Bachelors,Management,1,Haney,Male,Married
11177,Jose Flores,74,110000.00,4,Graduate Degree,Management,2,San Diego,Male,Married
11178,Nathan Johnson,68,100000.00,3,Graduate Degree,Management,3,Lakewood,Male,Married
11179,Molly Rodriguez,63,120000.00,4,Graduate Degree,Management,3,Beverly Hills,Female,Married
11180,April Anand,74,160000.00,3,Bachelors,Management,4,Chula Vista,Female,Married
11181,Devin Martin,62,170000.00,3,Graduate Degree,Management,2,Los Angeles,Male,Married
11182,Stephanie Torres,72,70000.00,0,Bachelors,Management,2,Sedro Woolley,Female,Single
11183,Jasmine Lee,72,70000.00,0,Bachelors,Management,2,Santa Cruz,Female,Single
11184,Meghan Hernandez,67,70000.00,0,Bachelors,Management,2,Concord,Female,Single
11185,Ashley Henderson,72,70000.00,0,Bachelors,Management,2,Metchosin,Female,Single
11186,Sarah Price,73,70000.00,0,Bachelors,Management,2,Palo Alto,Female,Single
11187,Jennifer Cooper,73,60000.00,0,Graduate Degree,Management,2,Burien,Female,Married
11188,Catherine Morris,72,60000.00,0,Graduate Degree,Management,2,San Gabriel,Female,Married
11189,Lawrence Blanco,70,60000.00,0,Graduate Degree,Management,2,Bellingham,Male,Single
11190,Carson Bryant,73,70000.00,0,Bachelors,Management,2,Beverly Hills,Male,Married
11191,Kristi Perez,69,70000.00,0,Bachelors,Management,3,Colma,Female,Single
11192,James Brown,71,60000.00,0,Bachelors,Management,2,Seattle,Male,Married
11193,Ian Gray,72,60000.00,0,Bachelors,Management,2,Woodburn,Male,Married
11194,Jacqueline Price,72,60000.00,0,Bachelors,Management,2,Palo Alto,Female,Married
11195,Megan Henderson,71,60000.00,0,Bachelors,Management,3,Renton,Female,Married
11196,Alfredo Romero,71,60000.00,0,Bachelors,Management,3,Beaverton,Male,Married
11197,Andrea Morris,71,70000.00,1,Bachelors,Management,1,Seattle,Female,Married
11198,Brooke Sanders,70,70000.00,1,Bachelors,Management,1,Santa Cruz,Female,Single
11199,Jacqueline Bennett,65,70000.00,1,Bachelors,Management,1,Burlingame,Female,Married
11200,Jason Griffin,69,70000.00,1,Bachelors,Management,1,Victoria,Male,Married
11201,Amanda Foster,69,70000.00,1,Bachelors,Management,1,Santa Monica,Female,Married
11202,Alexia Price,64,80000.00,0,Bachelors,Management,2,Lakewood,Female,Married
11203,Luis Diaz,63,40000.00,1,High School,Professional,2,Port Hammond,Male,Married
11204,Destiny Rivera,69,40000.00,1,High School,Professional,2,Beaverton,Female,Married
11205,Abby Fernandez,68,40000.00,1,High School,Professional,2,Burien,Female,Married
11206,Blake Flores,68,60000.00,1,Partial College,Professional,1,Lynnwood,Male,Married
11207,Danielle Cox,68,60000.00,1,Partial College,Professional,1,Renton,Female,Single
